taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,sd_te,nebraska_swap,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,sum_nObs
5300700,Fritillaria atropurpurea,Purple Missionbells,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Fritillaria,Fritillaria atropurpurea,NA,NA,NA,7,1967,2009,0,NA,NA,15,1892,2007,3,2007,2019,9,1995,2007,34
2840754,Goodyera oblongifolia,Giant Rattlesnake-plantain,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Goodyera,Goodyera oblongifolia,NA,NA,NA,2,1991,2001,0,NA,NA,2,2001,2001,0,NA,NA,1,2001,2001,5
11712270,Liparis loeselii,Loesel's Twayblade,G5,S1,S1,NA,NA,Tier 2,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Liparis,Liparis loeselii,NA,NA,NA,7,1912,2017,0,NA,NA,2,1995,2017,0,NA,NA,0,NA,NA,9
2703943,Muhlenbergia filiformis,Pullup Muhly,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Muhlenbergia,Muhlenbergia filiformis,NA,NA,NA,1,1893,1893,0,NA,NA,1,2005,2005,0,NA,NA,0,NA,NA,2
2703976,Muhlenbergia glomerata,Marsh Muhly,G5,S2,S4,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Muhlenbergia,Muhlenbergia glomerata,NA,NA,NA,1,1913,1913,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
2704017,Muhlenbergia richardsonis,Soft-leaf Muhly,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Muhlenbergia,Muhlenbergia richardsonis,NA,NA,NA,1,1891,1910,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
5301163,Potamogeton diversifolius,Waterthread Pondweed,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton diversifolius,NA,NA,NA,3,1996,2008,0,NA,NA,5,1970,2008,0,NA,NA,3,1996,2008,11
2752970,Prosartes trachycarpa,Rough-fruit Mandarin,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Prosartes,Prosartes trachycarpa,NA,NA,NA,1,1889,1889,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
2705699,Pseudoroegneria spicata,Bluebunch Wheatgrass,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Pseudoroegneria,Pseudoroegneria spicata,NA,NA,NA,2,1991,2009,0,NA,NA,10,1991,2008,3,2008,2008,8,1991,2008,23
2705745,Schizachne purpurascens,Purple Oat,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Schizachne,Schizachne purpurascens,NA,NA,NA,10,1991,2016,0,NA,NA,16,1991,2012,1,2009,2009,10,1991,2012,37
